year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1948,Athletics,Athletics,"WRIGHT, Lorenzo Christopher",USA,Men,4x100m relay,Gold,0
1948,Athletics,Athletics,"ARCHER, John",GBR,Men,4x100m relay,Silver,0
1948,Athletics,Athletics,"GREGORY, John Arthur",GBR,Men,4x100m relay,Silver,0
1948,Athletics,Athletics,"JONES, Kenneth Jeffrey",GBR,Men,4x100m relay,Silver,0
1948,Athletics,Athletics,"MCCORQUODALE, Alastair",GBR,Men,4x100m relay,Silver,0
1948,Athletics,Athletics,"FOSTER, Dianne P.",CAN,Women,4x100m relay,Bronze,0
1948,Athletics,Athletics,"JONES, Patricia",CAN,Women,4x100m relay,Bronze,0
1948,Athletics,Athletics,"MACKAY-MURRALL, Nancy",CAN,Women,4x100m relay,Bronze,0
1948,Athletics,Athletics,"MEYERS, Violet",CAN,Women,4x100m relay,Bronze,0
1948,Athletics,Athletics,"BLANKERS-KOEN, Fanny",NED,Women,4x100m relay,Gold,0
1948,Athletics,Athletics,"STAD-DE JONG, Xenia",NED,Women,4x100m relay,Gold,0
1948,Athletics,Athletics,"VAN DER KADE-KOUDIJS, Gerda Johanna Marie",NED,Women,4x100m relay,Gold,0
1948,Athletics,Athletics,"WITZIERS-TIMMER, Jeannette Josephina Maria",NED,Women,4x100m relay,Gold,0
1948,Athletics,Athletics,"KING-WALKER, Joyce A.",AUS,Women,4x100m relay,Silver,0
1948,Athletics,Athletics,"MASTON-FERGSON, June Rit",AUS,Women,4x100m relay,Silver,0
1948,Athletics,Athletics,"MCKINNON, Elizabeth",AUS,Women,4x100m relay,Silver,0
1948,Athletics,Athletics,"STRICKLAND-DE LA HUNTY, Shirley",AUS,Women,4x100m relay,Silver,0
1948,Athletics,Athletics,"ALNEVIK, Folke",SWE,Men,4x400m relay,Bronze,0
1948,Athletics,Athletics,"LARSSON, Rune",SWE,Men,4x400m relay,Bronze,0
1948,Athletics,Athletics,"DILLARD, Harrison",USA,Men,4x100m relay,Gold,0
1948,Athletics,Athletics,"TITO, Michele",ITA,Men,4x100m relay,Bronze,0
1948,Athletics,Athletics,"SIDDI, Antonio",ITA,Men,4x100m relay,Bronze,0
1948,Athletics,Athletics,"PERRUCCONI, Enrico",ITA,Men,4x100m relay,Bronze,0
1948,Athletics,Athletics,"DIXON, Craig",USA,Men,110m hurdles,Bronze,0
1948,Athletics,Athletics,"PORTER, William Franklin III",USA,Men,110m hurdles,Gold,0
1948,Athletics,Athletics,"SCOTT, Clyde",USA,Men,110m hurdles,Silver,0
1948,Athletics,Athletics,"SLIJKHUIS, Willem",NED,Men,1500m,Bronze,0
1948,Athletics,Athletics,"ERIKSSON, Henry",SWE,Men,1500m,Gold,0
1948,Athletics,Athletics,"STRAND, Lennart",SWE,Men,1500m,Silver,0
1948,Athletics,Athletics,"LABEACH, Lloyd",PAN,Men,200m,Bronze,0
1948,Athletics,Athletics,"PATTON, Melvin Emery",USA,Men,200m,Gold,0
1948,Athletics,Athletics,"EWELL, Harold Norwood",USA,Men,200m,Silver,0
1948,Athletics,Athletics,"PATTERSON, Audrey Mickey",USA,Women,200m,Bronze,0
