year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
1988,Volleyball,Volleyball,"LUYTIES, Ricci Judson",USA,Men,volleyball,Gold,3
1988,Volleyball,Volleyball,"KIRALY, Charles",USA,Men,volleyball,Gold,3
1988,Volleyball,Volleyball,"FORTUNE, Scott Thomas",USA,Men,volleyball,Gold,3
1988,Volleyball,Volleyball,"CTVRTLIK, Robert Jan",USA,Men,volleyball,Gold,3
1988,Volleyball,Volleyball,"BUCK, Craig Werner",USA,Men,volleyball,Gold,3
1988,Volleyball,Volleyball,"ZULIANELLO, Claudio F.",ARG,Men,volleyball,Bronze,1
1988,Volleyball,Volleyball,"WEBER, Carlos",ARG,Men,volleyball,Bronze,1
1988,Volleyball,Volleyball,"URIARTE, Jon Emili",ARG,Men,volleyball,Bronze,1
1988,Volleyball,Volleyball,"QUIROGA, Raul Nicolas",ARG,Men,volleyball,Bronze,1
1988,Volleyball,Volleyball,"MARTINEZ, Esteban Eduardo",ARG,Men,volleyball,Bronze,1
1988,Volleyball,Volleyball,"KANTOR, Waldo Ariel",ARG,Men,volleyball,Bronze,1
1988,Volleyball,Volleyball,"DIZ, Alejandro",ARG,Men,volleyball,Bronze,1
1988,Volleyball,Volleyball,"DE PALMA, Esteban",ARG,Men,volleyball,Bronze,1
1988,Volleyball,Volleyball,"CUMINETTI, Juan Carlos",ARG,Men,volleyball,Bronze,1
1988,Volleyball,Volleyball,"CONTE, Hugo Nestor",ARG,Men,volleyball,Bronze,1
1988,Volleyball,Volleyball,"COLLA, Daniel M.",ARG,Men,volleyball,Bronze,1
1988,Volleyball,Volleyball,"CASTELLANI, Daniel Jorge",ARG,Men,volleyball,Bronze,1
1988,Tennis,Tennis,"SABATINI, Gabriela",ARG,Women,singles,Silver,2
1988,Tennis,Tennis,"GRAF, Steffi",FRG,Women,singles,Gold,3
1988,Tennis,Tennis,"MALEEVA-FRAGNIERE, Manuela",BUL,Women,singles,Bronze,1
1988,Tennis,Tennis,"GARRISON, Zina",USA,Women,singles,Bronze,1
1988,Volleyball,Volleyball,"HEREDIA, Isabel",PER,Women,volleyball,Silver,2
1988,Table Tennis,Table Tennis,"YOO, Nam-Kyu",KOR,Men,singles,Gold,3
1988,Volleyball,Volleyball,"HORNY, Katherine",PER,Women,volleyball,Silver,2
1988,Volleyball,Volleyball,"PEREZ DEL SOLAR, Gabriela",PER,Women,volleyball,Silver,2
1988,Wrestling,Wrestling Gre-R,"GEROVSKI, Rangel Ivanov",BUL,Men,100 - 130kg (super heavyweight),Silver,2
1988,Wrestling,Wrestling Gre-R,"KARELIN, Aleksandr",URS,Men,100 - 130kg (super heavyweight),Gold,3
1988,Wrestling,Wrestling Gre-R,"JOHANSSON, Tomas",SWE,Men,100 - 130kg (super heavyweight),Bronze,1
1988,Wrestling,Wrestling Gre-R,"GLAB, Andrzej",POL,Men,- 48kg (light-flyweight),Silver,2
1988,Wrestling,Wrestling Gre-R,"MAENZA, Vincenzo",ITA,Men,- 48kg (light-flyweight),Gold,3
1988,Wrestling,Wrestling Gre-R,"TSENOV, Bratan Tzenov",BUL,Men,- 48kg (light-flyweight),Bronze,1
1988,Wrestling,Wrestling Free.,"KHABELOV, Yuri",URS,Men,90 - 100kg (heavyweight),Silver,2
1988,Wrestling,Wrestling Free.,"PUSCASU, Vasile",ROU,Men,90 - 100kg (heavyweight),Gold,3
1988,Wrestling,Wrestling Free.,"SCHERR, William Edwin",USA,Men,90 - 100kg (heavyweight),Bronze,1
1988,Wrestling,Wrestling Gre-R,"LEE, Jae-Suk",KOR,Men,48 - 52kg (flyweight),Bronze,1
1988,Wrestling,Wrestling Free.,"OTA, Akira",JPN,Men,82 - 90kg (light-heavyweight),Silver,2
1988,Wrestling,Wrestling Free.,"KIM, Tae-Woo",KOR,Men,82 - 90kg (light-heavyweight),Bronze,1
1988,Wrestling,Wrestling Free.,"GENCALP, Necmi",TUR,Men,74 - 82kg (middleweight),Silver,2
1988,Wrestling,Wrestling Free.,"HAN, Myung-Woo",KOR,Men,74 - 82kg (middleweight),Gold,3
1988,Wrestling,Wrestling Free.,"LOHYNA, Jozef",TCH,Men,74 - 82kg (middleweight),Bronze,1
1988,Wrestling,Wrestling Free.,"VARAEV, Adlan",URS,Men,68 - 74kg (welterweight),Silver,2
1988,Wrestling,Wrestling Free.,"MONDAY, Kenneth",USA,Men,68 - 74kg (welterweight),Gold,3
1988,Wrestling,Wrestling Free.,"SOFIADI-RAKHMAT, Sukra",BUL,Men,68 - 74kg (welterweight),Bronze,1
1988,Wrestling,Wrestling Free.,"PARK, Jang-Soon",KOR,Men,62 - 68kg (lightweight),Silver,2
1988,Wrestling,Wrestling Free.,"FADZAEV, Arsen",URS,Men,62 - 68kg (lightweight),Gold,3
1988,Wrestling,Wrestling Free.,"KHADARTSEV, Makharbek",URS,Men,82 - 90kg (light-heavyweight),Gold,3
1988,Wrestling,Wrestling Free.,"CARR, Nathaniel",USA,Men,62 - 68kg (lightweight),Bronze,1
1988,Wrestling,Wrestling Gre-R,"RÃNNINGEN, Jon",NOR,Men,48 - 52kg (flyweight),Gold,3
1988,Wrestling,Wrestling Gre-R,"SIKE, Andras",HUN,Men,52 - 57kg (bantamweight),Gold,3
1988,Football,Football,"SAVICHEV, Yuri",URS,Men,football,Gold,3
1988,Wrestling,Wrestling Gre-R,"HIMMEL, Gerhard",FRG,Men,90 - 100kg (heavyweight),Silver,2
1988,Wrestling,Wrestling Gre-R,"WRONSKI, Andrzej",POL,Men,90 - 100kg (heavyweight),Gold,3
1988,Wrestling,Wrestling Gre-R,"KOSLOWSKI, Dennis Marvin",USA,Men,90 - 100kg (heavyweight),Bronze,1
1988,Wrestling,Wrestling Gre-R,"KOSKELA, Harri Matias",FIN,Men,82 - 90kg (light-heavyweight),Silver,2
1988,Wrestling,Wrestling Gre-R,"KOMCHEV, Atanas Slavov",BUL,Men,82 - 90kg (light-heavyweight),Gold,3
1988,Wrestling,Wrestling Gre-R,"POPOV, Vladimir",URS,Men,82 - 90kg (light-heavyweight),Bronze,1
1988,Wrestling,Wrestling Gre-R,"KOMAROMI, Tibor",HUN,Men,74 - 82kg (middleweight),Silver,2
1988,Wrestling,Wrestling Gre-R,"MAMIASHVILI, Mikhail",URS,Men,74 - 82kg (middleweight),Gold,3
1988,Wrestling,Wrestling Gre-R,"HOLIDIS, Charalambos",GRE,Men,52 - 57kg (bantamweight),Bronze,1
1988,Wrestling,Wrestling Gre-R,"KIM, Sang-Kyu",KOR,Men,74 - 82kg (middleweight),Bronze,1
1988,Wrestling,Wrestling Gre-R,"KIM, Young-Nam",KOR,Men,68 - 74kg (welterweight),Gold,3
1988,Wrestling,Wrestling Gre-R,"TRACZ, Jozef",POL,Men,68 - 74kg (welterweight),Bronze,1
1988,Wrestling,Wrestling Gre-R,"KIM, Sung-Moon",KOR,Men,62 - 68kg (lightweight),Silver,2
1988,Wrestling,Wrestling Gre-R,"DJULFALAKIAN, Levon",URS,Men,62 - 68kg (lightweight),Gold,3
1988,Wrestling,Wrestling Gre-R,"SIPILA, Tapio",FIN,Men,62 - 68kg (lightweight),Bronze,1
1988,Wrestling,Wrestling Gre-R,"VANGELOV, Jivko",BUL,Men,57 - 62kg (featherweight),Silver,2
1988,Wrestling,Wrestling Gre-R,"MADZHIDOV, Kamandar",URS,Men,57 - 62kg (featherweight),Gold,3
1988,Wrestling,Wrestling Gre-R,"AN, Dae-Hyun",KOR,Men,57 - 62kg (featherweight),Bronze,1
1988,Wrestling,Wrestling Gre-R,"BALOV, Stoyan",BUL,Men,52 - 57kg (bantamweight),Silver,2
1988,Wrestling,Wrestling Gre-R,"TURLYKHANOV, Daulet",URS,Men,68 - 74kg (welterweight),Silver,2
1988,Wrestling,Wrestling Free.,"SARKISYAN, Stepan",URS,Men,57 - 62kg (featherweight),Silver,2
1988,Wrestling,Wrestling Free.,"SMITH, John",USA,Men,57 - 62kg (featherweight),Gold,3
1988,Wrestling,Wrestling Free.,"CHTEREV, Simeon",BUL,Men,57 - 62kg (featherweight),Bronze,1
1988,Weightlifting,Weightlifting,"KUNZ, Joachim",GDR,Men,"60 - 67.5kg, total (lightweight)",Gold,3
1988,Weightlifting,Weightlifting,"LI, Jin-He",CHN,Men,"60 - 67.5kg, total (lightweight)",Bronze,1
1988,Weightlifting,Weightlifting,"TOPUROV, Stefan",BUL,Men,"56 - 60kg, total (featherweight)",Silver,2
1988,Weightlifting,Weightlifting,"SULEYMANOGLU, Naim",TUR,Men,"56 - 60kg, total (featherweight)",Gold,3
1988,Weightlifting,Weightlifting,"YE, Huan-Ming",CHN,Men,"56 - 60kg, total (featherweight)",Bronze,1
1988,Weightlifting,Weightlifting,"JACSO, Jozsef",HUN,Men,"100 - 110kg, total (heavyweight)",Silver,2
1988,Weightlifting,Weightlifting,"ZAKHAREVICH, Yuri",URS,Men,"100 - 110kg, total (heavyweight)",Gold,3
1988,Weightlifting,Weightlifting,"WELLER, Ronny",GDR,Men,"100 - 110kg, total (heavyweight)",Bronze,1
1988,Weightlifting,Weightlifting,"NERLINGER, Manfred",FRG,Men,"+ 110kg, total (super heavyweight)",Silver,2
1988,Weightlifting,Weightlifting,"MILITOSIAN, Israel",URS,Men,"60 - 67.5kg, total (lightweight)",Silver,2
1988,Weightlifting,Weightlifting,"KURLOVICH, Alexandre",URS,Men,"+ 110kg, total (super heavyweight)",Gold,3
1988,Weightlifting,Weightlifting,"HE, Ying-Qiang",CHN,Men,"- 56kg, total (bantamweight)",Silver,2
1988,Weightlifting,Weightlifting,"MIRZOYAN, Oksen",URS,Men,"- 56kg, total (bantamweight)",Gold,3
1988,Weightlifting,Weightlifting,"LIU, Shoubin",CHN,Men,"- 56kg, total (bantamweight)",Bronze,1
1988,Weightlifting,Weightlifting,"CHUN, Byung-Kwan",KOR,Men,"- 52kg, total (flyweight)",Silver,2
1988,Weightlifting,Weightlifting,"MARINOV, Sevdalin",BUL,Men,"- 52kg, total (flyweight)",Gold,3
1988,Weightlifting,Weightlifting,"HE, Zhuo-Qiang",CHN,Men,"- 52kg, total (flyweight)",Bronze,1
1988,Volleyball,Volleyball,"URIBE, Cenaida",PER,Women,volleyball,Silver,2
1988,Volleyball,Volleyball,"TORREALVA, Gina",PER,Women,volleyball,Silver,2
1988,Volleyball,Volleyball,"TAIT, Cecilia",PER,Women,volleyball,Silver,2
1988,Weightlifting,Weightlifting,"ZAWIEJA, Martin",FRG,Men,"+ 110kg, total (super heavyweight)",Bronze,1
1988,Weightlifting,Weightlifting,"VARBANOV, Aleksander",BUL,Men,"67.5 - 75kg, total (middleweight)",Bronze,1
1988,Weightlifting,Weightlifting,"GIDIKOV, Borislav",BUL,Men,"67.5 - 75kg, total (middleweight)",Gold,3
1988,Weightlifting,Weightlifting,"STEINHOEFEL, Ingo",GDR,Men,"67.5 - 75kg, total (middleweight)",Silver,2
1988,Wrestling,Wrestling Free.,"MOHAMMADIAN, Asgari",IRI,Men,52 - 57kg (bantamweight),Silver,2
1988,Wrestling,Wrestling Free.,"BELOGLAZOV, Sergei",URS,Men,52 - 57kg (bantamweight),Gold,3
1988,Wrestling,Wrestling Free.,"NOH, Kyung-Sun",KOR,Men,52 - 57kg (bantamweight),Bronze,1
1988,Wrestling,Wrestling Free.,"TRSTENA, Saban",YUG,Men,48 - 52kg (flyweight),Silver,2
1988,Wrestling,Wrestling Free.,"SATO, Mitsuru",JPN,Men,48 - 52kg (flyweight),Gold,3
1988,Wrestling,Wrestling Free.,"TOHUZOV, Vladimir",URS,Men,48 - 52kg (flyweight),Bronze,1
1988,Wrestling,Wrestling Free.,"BAUMGARTNER, Bruce Robert",USA,Men,100 - 130kg (super heavyweight),Silver,2
